title,overview,release_year,genres,director,cast,source,vote_average,runtime
Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",['James Cameron'],"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez', 'Giovanni Ribisi', 'Joel David Moore', 'CCH Pounder', 'Wes Studi', 'Laz Alonso', 'Dileep Rao', 'Matt Gerald', 'Sean Anthony Moran', 'Jason Whyte', 'Scott Lawrence', 'Kelly Kilgour', 'James Patrick Pitt', 'Sean Patrick Murphy', 'Peter Dillon', 'Kevin Dorman', 'Kelson Henderson', 'David Van Horn', 'Jacob Tomuri', 'Michael Blain-Rozgay', 'Jon Curry', 'Luke Hawker', 'Woody Schultz', 'Peter Mensah', 'Sonia Yee', 'Jahnel Curfman', 'Ilram Choi', 'Kyla Warren', 'Lisa Roumain', 'Debra Wilson', 'Chris Mala', 'Taylor Kibby', 'Jodie Landau', 'Julie Lamm', 'Cullen B. Madden', 'Joseph Brady Madden', 'Frankie Torres', 'Austin Wilson', 'Sara Wilson', 'Tamica Washington-Miller', 'Lucy Briant', 'Nathan Meister', 'Gerry Blair', 'Matthew Chamberlain', 'Paul Yates', 'Wray Wilson', 'James Gaylyn', 'Melvin Leno Clark III', 'Carvon Futrell', 'Brandon Jelkes', 'Micah Moch', 'Hanniyah Muhammad', 'Christopher Nolen', 'Christa Oliver', 'April Marie Thomas', 'Bravita A. Threatt', 'Colin Bleasdale', 'Mike Bodnar', 'Matt Clayton', 'Nicole Dionne', 'Jamie Harrison', 'Allan Henry', 'Anthony Ingruber', 'Ashley Jeffery', 'Dean Knowsley', 'Joseph Mika-Hunt', 'Terry Notary', 'Kai Pantano', 'Logan Pithyou', 'Stuart Pollock', 'Raja', 'Gareth Ruck', 'Rhian Sheehan', 'T. J. Storm', 'Jodie Taylor', 'Alicia Vela-Bailey', 'Richard Whiteside', 'Nikie Zambo', 'Julene Renee']",tmdb,7.2,162.0
Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007,"['Adventure', 'Fantasy', 'Action']",['Gore Verbinski'],"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Chow Yun-fat', 'Bill Nighy', 'Geoffrey Rush', 'Jack Davenport', 'Kevin McNally', 'Tom Hollander', 'Naomie Harris', 'Jonathan Pryce', 'Keith Richards', 'Lee Arenberg', 'Mackenzie Crook', 'Greg Ellis', 'David Bailie', 'Martin Klebba', 'David Schofield', 'Lauren Maher', 'Vanessa Branch', 'Angus Barnett', 'Giles New', 'Reggie Lee', 'Dominic Scott Kay', 'Takayo Fischer', 'David Meunier', 'Ho-Kwan Tse', 'Andy Beckwith', 'Peter Donald Badalamenti II', 'Christopher S. Capp', 'Keith Richards', 'Hakeem Kae-Kazim', 'Ghassan Massoud']",tmdb,6.9,169.0
Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2015,"['Action', 'Adventure', 'Crime']",['Sam Mendes'],"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes', 'Monica Bellucci', 'Ben Whishaw', 'Naomie Harris', 'Dave Bautista', 'Andrew Scott', 'Rory Kinnear', 'Jesper Christensen', 'Alessandro Cremona', 'Stephanie Sigman', 'Tenoch Huerta', 'Adriana Paz', 'Domenico Fortunato', 'Marco Zingaro', 'Stefano Elfi DiClaudia', 'Ian Bonar', 'Tam Williams', 'Richard Banham', 'Pip Carter', 'Simon Lenagan', 'Alessandro Bressanello', 'Marc Zinga', 'Brigitte Millar', 'Adel Bencherif', 'Gediminas Adomaitis', 'Peppe Lanzetta', 'Francesco Arca', 'Matteo Taranto', 'Emilio Aniba', 'Benito Sagredo', 'Dai Tabuchi', 'George Lasha', 'Sargon Yelda', 'Andy Cheung', 'Erick Hayden', 'Oleg Mirochnikov', 'Antonio Salines', 'Miloud Mourad Benamara', 'Gido Schimanski', 'Nigel Barber', 'Patrice Naiambana', 'Stephane Cornicard', 'Gary Fannin', 'Sadao Ueda', 'Phillip Law', 'Wai Wong', 'Joseph Balderrama', 'Eiji Mihara', 'Junichi Kajioka', 'Victor Schefé', 'Harald Windisch', 'Tristan Matthiae', 'Detlef Bothe', 'Bodo Friesecke', 'Wilhem Iben', 'Noemi Krausz', 'Noah Saavedra', 'Francis Attakpah', 'Michael Glantschnig', 'Marlon Boess', 'Marie Wohlmuth', 'Lili Epply', 'Konstantin Gerlach', 'Lara Parmiani', 'Umit Ulgen', 'Amra Mallassi', 'Ziad Abaza', 'Walid Mumuni', 'Derek Horsham', 'Nari Blair-Mangat', 'Michael White', 'Adam McGrady', 'Nader Dernaika', 'Pezhmaan Alinia', 'Judi Dench', 'Neve Gachev', 'Karl Farrer', 'Kim Adis', 'Maurisa Selene Coleman', 'Matija Mondi Matović']",tmdb,6.3,148.0
The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012,"['Action', 'Crime', 'Drama', 'Thriller']",['Christopher Nolan'],"['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman', 'Cillian Murphy', 'Juno Temple', 'Liam Neeson', 'Matthew Modine', 'Alon Aboutboul', 'Ben Mendelsohn', 'Nestor Carbonell', 'Josh Pence', 'Tom Conti', 'Joey King', 'Warren Brown', 'Daniel Sunjata', 'Sam Kennard', 'Aliash Tepina', 'Nick Julian', 'Miranda Nolan', 'Claire Julien', 'Aidan Gillen', 'Burn Gorman', 'Brett Cullen', 'Reggie Lee', 'Joseph Lyle Taylor', 'Chris Ellis', 'Duane Henry', 'James Harvey Ward', 'Gonzalo Menendez', 'Cameron Jack', 'Lex Daniel', 'Tyler Dean Flores', 'Thomas Lennon', 'Trevor White', 'Rob Brown', 'Fredric Lehne', 'Courtney Munch', 'Chris Hill', 'Travis Guba', 'Jay Benedict', 'Will Estes', 'David Dayan Fisher', 'Glen Powell', 'Russ Fega', 'Andres Perez-Molina', 'Brent Briscoe', 'John Nolan', 'Oliver Cotton', 'Mark Killeen', 'Sarah Goldberg', 'John MacMillan', 'Robert Wisdom', 'Ronnie Gene Blevins', 'John Hollingworth', 'Ian Bohen', 'Uri Gavriel', 'Noel Gugliemi', 'Hector Atreyu Ruiz', 'Patrick Cox', 'Aramis Knight', 'Josh Stewart', 'William Devane', 'David Gyasi', 'Patrick Jordan', 'Joshua Elijah Reese', 'Desmond Harrington', 'Mychael Bates', 'Tomas Arana', 'Peter Holden', 'David Monahan', 'Jillian Armenante', 'Aja Evans', 'Aldous Davidson', 'Wade Williams', 'Jake Canuso', 'Massi Furlan', 'Christopher Judge', 'Patrick Leahy', 'Todd Gearhart', 'Marc Abbink', 'Isiah Adams', 'Charlie Alejandro', 'Robert Arensen', 'Grant Babbitt', 'Fileena Bahris', 'Rick Bolander', 'Kyle Patrick Brennan', 'Scott Churchson', 'Bill Cowher', 'Graham Curry', 'Stephanie Domini Ehlert', 'John Farrer', 'Frank Fata', 'Christopher Bryan Gomez', 'Vito Grassi', 'Michael Wren Gucciardo', 'Sam Harris', 'Ed Heavey', 'John W. Iwanonkiw', 'Cindy Jackson', 'Daniel Jordano', 'William Kania', 'Tiffany Kemp', 'Sun Jae Kim', 'Hrvoje Klecz', 'Alex Kruz', 'Tyler La Marr', 'LeJon', 'Paul Jude Letersky', 'Joe Lipari', 'Silvia Lombardo', 'Jorge Mardel', 'Cale McConnell', 'David Dale McCue', 'Tiffany Sander McKenzie', 'Allen Merritt', 'Olan Montgomery', 'Alex Moore', 'Shane Nolan', 'Jackson Nunn', ""Joseph O'Brien"", 'Michael Papajohn', 'Salomon Passariello', 'Kyle David Pierce', 'Troy Polamalu', 'Michael Power', 'James Rawlings', 'Kirsten Roeters', 'Ben Roethlisberger', 'Mark Roman', 'Anthony J. Sacco', 'Eric Salazar', 'Emily Schooley', 'Thomas Tull', 'Chris Vaina', 'Vincent van Ommen', 'Michelle Vezzani', 'Barbara Vincent', 'Justin Michael Woods', 'Jason Yee', 'Maria Zambrana', 'John Zion', 'Alex Ziwak', 'Tommy Bayiokos', 'Matthew Gooley', 'Jeff Moffitt', 'Mark Falvo', 'Diogo Hausen', 'Gary Sievers', 'Orion McCabe', 'London May', 'James Quinn', 'Daniel Newman']",tmdb,7.6,165.0
John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012,"['Action', 'Adventure', 'Science Fiction']",['Andrew Stanton'],"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Willem Dafoe', 'Thomas Haden Church', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Bryan Cranston', 'Polly Walker', 'Daryl Sabara', 'Arkie Reece', 'Davood Ghadami', 'Pippa Nixon', 'James Embree', 'Philip Philmar', 'Emily Tierney', 'Edmund Kente', 'Nicholas Woodeson', 'Kyle Agnew', 'Don Stark', 'Josh Daugherty', 'Jared Cyr', 'Christopher Goodman', 'Amanda Clayton', 'Joseph Billingiere']",tmdb,6.1,132.0
Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010,"['Animation', 'Family']","['Byron Howard', 'Nathan Greno']","['Zachary Levi', 'Mandy Moore', 'Donna Murphy', 'Ron Perlman', 'M.C. Gainey', 'Jeffrey Tambor', 'Brad Garrett', 'Paul F. Tompkins', 'Richard Kiel', 'Delaney Rose Stein', 'Nathan Greno', 'Byron Howard', 'Tim Mertens']",tmdb,7.4,100.0
Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015,"['Action', 'Adventure', 'Science Fiction']",['Joss Whedon'],"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Linda Cardellini', 'Stellan Skarsgård', 'Claudia Kim', 'Thomas Kretschmann', 'Andy Serkis', 'Julie Delpy', 'Stan Lee', 'Henry Goodman', 'Chris Luca', 'Brian Schaeffer', 'Dominique Provost-Chalkley', 'Isaac Andrews', 'Gareth Kieran Jones', 'Chan Woo Lim', 'Minhee Yeo', 'Bentley Kalu', 'Julian Bleach', 'Christopher Beasley', 'Vuyo Dabula', 'Nondumiso Tembe', 'Kabelo Thai', 'Lele Leowaba', 'Mandla Gaduka', 'Harriet Manamela', 'Beulah Hashe', 'Musca Kumalo', 'Mathapelo September', 'Antony Acheampong', 'Chioma Anyanwu', 'Ben Sakamoto', 'Imogen Poynton', 'Isabella Poynton', 'Ingvild Deila', 'Sunny Yeo', 'Namju Go', 'Mina Kweon', 'Earl T. Kim', 'Arthur Lee', 'Verity Hewlett', 'Michael Matovski', 'Alma Noce', 'Riccardo Richetta', 'Constanza Ruff', 'Monty Mclaren-Clark', 'Julia Krynke', 'Tony Christensen', 'Ian Kay', 'Barry Aird', 'Aaron Himelstein', 'Kerry Condon', 'Jaiden Stafford', 'Dilyana Bouklieva', 'Josh Brolin', 'Joti Nagra', 'Nick W. Nicholson', 'Daniel Westwood']",tmdb,7.3,141.0
Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2009,"['Adventure', 'Fantasy', 'Family']",['David Yates'],"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Tom Felton', 'Michael Gambon', 'Jim Broadbent', 'Helena Bonham Carter', 'Robbie Coltrane', 'Maggie Smith', 'Alan Rickman', 'Timothy Spall', 'David Thewlis', 'Julie Walters', 'Matthew Lewis', 'Evanna Lynch', 'Bonnie Wright', 'Oliver Phelps', 'James Phelps', 'Mark Williams', 'Warwick Davis', 'Natalia Tena', 'Katie Leung', 'Dave Legeno', 'Geraldine Somerville', 'Helen McCrory', 'Freddie Stroma', 'David Bradley', 'Frank Dillane', 'Hero Fiennes-Tiffin', 'Gemma Jones', 'Afshan Azad', 'Shefali Chowdhury', 'Georgina Leonidas', 'Devon Murray', 'Anna Shaffer', 'Josh Herdman', 'Jamie Waylett', 'Scarlett Byrne', 'Jessie Cave', 'Louis Cordice', 'Alfie Enoch', 'Robert Knox', 'William Melling', 'Paul Ritter', 'Isabella Laughland', 'Ralph Ineson', 'Suzanne Toase', 'Rod Hunt', 'Elarica Gallacher']",tmdb,7.4,153.0
Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2008,"['Adventure', 'Action', 'Thriller', 'Crime']",['Marc Forster'],"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench', 'Giancarlo Giannini', 'Gemma Arterton', 'Jeffrey Wright', 'David Harbour', 'Jesper Christensen', 'Anatole Taubman', 'Rory Kinnear', 'Tim Pigott-Smith', 'Joaquín Cosio', 'Glenn Foster', 'Paul Ritter', 'Stana Katic', 'Lucrezia Lante della Rovere', 'Neil Jackson', 'Oona Chaplin', 'Rachel McDowall', 'Gustavo Nanez', 'Mark Wakeling', 'Sarah Hadland', 'David Decio', 'Aaron King', 'Alexandra Prusa', 'Brandon Jovanovich', 'Alexandre Krawetz', 'Fernando Guillén Cuervo', 'Jesús Ochoa', 'Simon Kassianides', ""Brendan O'Hea""]",tmdb,6.1,106.0
Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",2006,"['Adventure', 'Fantasy', 'Action']",['Gore Verbinski'],"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Jack Davenport', 'Kevin McNally', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', 'Tom Hollander', 'Naomie Harris', 'David Bailie', 'Martin Klebba', 'David Schofield', 'Alex Norton', 'Geoffrey Rush', 'Dermot Keaney', 'Andy Beckwith', 'Clive Ashborn', 'Reggie Lee', 'Christopher Adamson', 'Jonathan Linsley', 'John Boswall', 'Max Baker', 'Steve Speirs', 'Lauren Maher', 'Vanessa Branch', 'Luke de Woolfson', 'Jonathan Kite', 'Ho-Kwan Tse', 'Peter Donald Badalamenti II', 'Christopher S. Capp']",tmdb,7.0,151.0
